"Woocomerce-ID","Trendyol-link","digikala_link","torob_link"
"386844","https://www.trendyol.com/lego/kalp-susu-40638-9-yas-ve-uzeri-cocuklar-icin-model-yapim-seti-254-parca-p-655322849?boutiqueId=61&merchantId=335238","",""
"500326","https://www.trendyol.com/lego/30653-dc-comics-super-heroes-batman-1992-polybag-p-736287643?boutiqueId=61&merchantId=472994","",""
"555750","https://www.trendyol.com/lego/kiraz-cicekleri-insa-edilebilen-cicekli-kutlama-hediyesi-40725-p-796161952?boutiqueId=61&merchantId=113590","",""
"769326","https://www.trendyol.com/lego/botanicals-mini-orkide-10343-yetiskinler-icin-dekoratif-cicek-yapim-seti-274-parca-p-883914730?boutiqueId=61&merchantId=780543","",""
"490908","https://www.trendyol.com/lego/kmx-iconic-lotus-cicekleri-40647-dekoratif-koleksiyonluk-ve-sergilenebilir-cicek-modeli-yapi-p-736286396?boutiqueId=61&merchantId=696219","",""
"271994","https://www.trendyol.com/lego/speed-champions-daha-hizli-daha-ofkeli-nissan-skyline-gt-r-r34-76917-319-parca-p-467015420?boutiqueId=61&merchantId=112426","",""
"3886","https://www.trendyol.com/lego/classic-orta-boy-yaratici-parcalar-yapim-kutusu-10696-cocuklar-icin-yapim-seti-484-parca-p-2018923?boutiqueId=61&merchantId=714842","",""
"161850","https://www.trendyol.com/lego/icons-orkide-10311-yetiskinler-icin-koleksiyonluk-dekoratif-yapim-seti-608-parca-p-303017450?boutiqueId=61&merchantId=111948","",""
"272528","https://www.trendyol.com/lego/60392-city-polis-motosikleti-araba-takibi-59-parca-5-yas-p-629428500?boutiqueId=677589&merchantId=968","",""
"546342","https://www.trendyol.com/lego/hngds-icons-gul-buketi-10328-18-yas-ve-uzeri-icin-yapim-seti-822-parca-sdgnh-1038993-p-796341658?boutiqueId=61&merchantId=113590","",""
"387894","https://www.trendyol.com/lego/disney-yukari-bak-evi-43217-9-insa-edilebilir-yaratici-set-598-parca-p-679300230?boutiqueId=61&merchantId=431823","",""
"740657","https://www.trendyol.com/lego/technic-mercedes-amg-f1-w14-e-performance-pull-back-42165-cocuklar-icin-yapim-seti-240-parca-p-811478693?boutiqueId=61&merchantId=472994","",""
"79981","https://www.trendyol.com/lego/classic-yaratici-seffaf-yapim-parcalari-11013-cocuklar-icin-yaratici-yapim-seti-500-parca-p-73200957?boutiqueId=647804&merchantId=968","",""
"584778","https://www.trendyol.com/lego/technic-agir-is-buldozeri-42163-7-yas-ve-uzeri-icin-yapim-seti-195-parca-p-796341656?boutiqueId=61&merchantId=322672","",""
"81198","https://www.trendyol.com/lego/fx-minecraft-tilki-kulubesi-21178-yapim-seti-193-parca-star-collection-210035-p-218675788?boutiqueId=677589&merchantId=968","",""
"3929","https://www.trendyol.com/lego/duplo-classic-luks-yapim-parcasi-kutusu-10914-18-ay-ve-uzeri-cocuklar-icin-gelisimi-deste-p-34752050","",""
"674777","https://www.trendyol.com/lego/technic-damperli-kamyon-42147-7-yas-ve-uzeri-cocuklar-icin-oyuncak-yapim-seti-177-parca-p-470950736","",""
"684674","https://www.trendyol.com/lego/classic-yaratici-evcil-hayvanlar-11034-5-yas-ve-uzeri-icin-yapim-seti-450-parca-p-797134628","",""
"87725","https://www.trendyol.com/lego/friends-agac-dikme-araci-41707-6-yas-ve-uzeri-cocuklar-icin-oyuncak-yapim-seti-336-parca-p-221864183","",""
"683857","https://www.trendyol.com/lego/30678-despicable-me-minyonlarin-jet-kaykayi-p-844123709","",""
"386064","https://www.trendyol.com/lego/marvel-ghost-rider-robotu-ve-motosikleti-76245-7-yas-ve-uzeri-icin-yapim-seti-264-parca-p-635014003","",""
"80779","https://www.trendyol.com/lego/yeni-estevia-urg-31058-creator-3u1-arada-muhtesem-dinozorlar-174-parca-7-yas-company-p-1154338","",""
"132582","https://www.trendyol.com/lego/creator-3-u-1-arada-fantastik-orman-yaratiklari-31125-yaratici-oyuncak-yapim-seti-175-parca-p-267627980","",""
"80350","https://www.trendyol.com/lego/technic-motosiklet-42132-7-yas-ve-uzeri-cocuklar-icin-koleksiyonluk-yapim-seti-160-parca-p-218529545","",""
"105487","https://www.trendyol.com/lego/classic-gri-plaka-11024-4-yas-ve-uzeri-cocuklar-icin-yaratici-oyuncak-yapim-s-1-parca-p-267251357","",""
"79981","https://www.trendyol.com/lego/classic-yaratici-seffaf-yapim-parcalari-11013-cocuklar-icin-yaratici-yapim-seti-500-parca-p-73200957","",""
"336020","https://www.trendyol.com/lego/creator-klasik-motosiklet-31135-8-yas-ve-uzeri-cocuklar-icin-oyuncak-yapim-seti-128-parca-p-655323804","",""
"544493","https://www.trendyol.com/lego/hngds-city-hamburger-kamyonu-60404-5-yas-ve-uzeri-icin-yapim-seti-194-parca-sdgnh-1038993-p-796719136","",""
"323306","https://www.trendyol.com/lego/minecraft-bataklik-macerasi-21240-7-yas-ve-uzeri-cocuklar-icin-oyuncak-yapim-seti-65-parca-p-467601768","",""
"702665","https://www.trendyol.com/lego/sfeyx-icons-krizantem-dekoratif-cicek-yapim-seti-10368-news-sfey-997516-p-846412043","",""
"385804","https://www.trendyol.com/lego/classic-yaratici-parti-kutusu-11029-5-yas-ve-uzeri-cocuklar-icin-yapim-seti-900-parca-p-655322802?boutiqueId=61&merchantId=714842","",""
"684693","https://www.trendyol.com/lego/avnr-classic-yaratici-evler-11035-4-yas-ve-uzeri-icin-yapim-seti-850-parca-rnva-1034239-p-797134579?boutiqueId=61&merchantId=110234","",""